511145.b3645	dinD
511145.b1466	narW
511145.b2000	flu
511145.b3748	rbsD
511145.b0757	galK
511145.b4127	yjdJ
511145.b3931	hslU
511145.b1868	yecE
511145.b4528	rzoR
511145.b2072	yegK
511145.b3677	yidI
511145.b0364	yaiS
511145.b1830	prc
511145.b1905	ftnA
511145.b0349	mhpC
511145.b0265	insA-2
511145.b3312	rpmC
511145.b3218	insH1-10
511145.b4682	yqcG
511145.b1196	ycgY
511145.b1076	flgE
511145.b2260	menE
511145.b3289	rsmB
511145.b2835	lplT
511145.b4348	hsdS
511145.b0072	leuC
511145.b3081	fadH
511145.b3618	yibB
511145.b1866	aspS
511145.b3364	tsgA
511145.b0269	yagF
511145.b4393	trpR
511145.b1616	uidB
511145.b2818	argA
511145.b2540	hcaC
511145.b0708	phr
511145.b0848	ybjM
511145.b3875	ompL
511145.b0127	yadG
511145.b4501	torI
511145.b3365	nirB
511145.b2321	flk
511145.b0391	yaiE
511145.b0480	ushA
511145.b1524	glsB
511145.b1659	ydhB
511145.b2043	wcaM
511145.b0992	yccM
511145.b2921	ygfI
511145.b4152	frdC
511145.b2647	ypjA
511145.b2848	yqeJ
511145.b2494	bepA
511145.b2782	mazF
511145.b1444	patD
511145.b0378	yaiW
511145.b0528	ybcJ
511145.b1563	relE
511145.b4197	ulaE
511145.b4108	yjdM
511145.b3769	ilvM
511145.b2184	yejH
511145.b2416	ptsI
511145.b1274	topA
511145.b2980	glcC
511145.b2232	ubiG
511145.b2513	yfgM
511145.b4040	ubiA
511145.b3631	waaG
511145.b4107	yjdN
511145.b0598	cstA
511145.b1097	yceG
511145.b0716	ybgO
511145.b1282	yciH
511145.b1328	pgrR
511145.b2572	rseA
511145.b3399	yrfG
511145.b3409	feoB
511145.b4689	rzoQ
511145.b1531	marA
511145.b4248	yjgH
511145.b2955	yggW
511145.b3478	nikC
511145.b4295	yjhU
511145.b0094	ftsA
511145.b0937	ssuE
511145.b2497	uraA
511145.b2132	bglX
511145.b0284	paoC
511145.b3635	mutM
511145.b4316	fimC
511145.b2365	dsdX
511145.b1188	ycgB
511145.b1533	eamA
511145.b1467	narY
511145.b2616	recN
511145.b4359	opgB
511145.b0173	dxr
511145.b3019	parC
511145.b0677	nagA
511145.b4194	ulaB
511145.b0944	ycbF
511145.b0101	yacG
511145.b1249	clsA
511145.b3447	ggt
511145.b4246	pyrL
511145.b1223	narK
